offLNm,offFNm,teamAbbr,teamLoc,teamRslt,teamFTA,teamFTM,teamFT%,opptAbbr,opptConf,opptLoc,opptRslt,opptFTA,opptFTM,opptFT%
Wall,Scott,CHA,Home,Win,32,27,0.8438,WAS,East,Away,Loss,32,21,0.6563
McCutchen,Monty,CHA,Home,Win,32,27,0.8438,WAS,East,Away,Loss,32,21,0.6563
Poole,Olandis,CHA,Home,Win,32,27,0.8438,WAS,East,Away,Loss,32,21,0.6563
Malloy,Ed,CLE,Away,Loss,26,22,0.8462,BKN,East,Home,Win,31,25,0.8065
Fitzgerald,Kane,CLE,Away,Loss,26,22,0.8462,BKN,East,Home,Win,31,25,0.8065
Blair,Curtis,CLE,Away,Loss,26,22,0.8462,BKN,East,Home,Win,31,25,0.8065
Malloy,Ed,BKN,Home,Win,31,25,0.8065,CLE,East,Away,Loss,26,22,0.8462
Fitzgerald,Kane,BKN,Home,Win,31,25,0.8065,CLE,East,Away,Loss,26,22,0.8462
Blair,Curtis,BKN,Home,Win,31,25,0.8065,CLE,East,Away,Loss,26,22,0.8462
Adams,Bennie,POR,Away,Win,22,19,0.8636,SAC,West,Home,Loss,19,13,0.6842
Crawford,Dan,POR,Away,Win,22,19,0.8636,SAC,West,Home,Loss,19,13,0.6842
Tiven,Josh,POR,Away,Win,22,19,0.8636,SAC,West,Home,Loss,19,13,0.6842
Adams,Bennie,SAC,Home,Loss,19,13,0.6842,POR,West,Away,Win,22,19,0.8636
Crawford,Dan,SAC,Home,Loss,19,13,0.6842,POR,West,Away,Win,22,19,0.8636
Tiven,Josh,SAC,Home,Loss,19,13,0.6842,POR,West,Away,Win,22,19,0.8636
