,Team,Home,Away,Combined,Difference,WAS,CLE,BOS,MIA,DAL,LAL,DEN,PHI,IND,TOR,HOU,DET,SAC,CHI,SA,NO,UTA,GS,PHO,MEM,LAC,POR,OKC,ORL,CHA,MIL,ATL,NY,MIN,BKN
20,LAC,0.7321004065040649,0.7196593495934961,0.7258798780487798,-0.006006173941401793,0.7610666666666667,0.6833166666666667,0.7227,0.6669499999999999,0.6979999999999998,0.7665916666666667,0.73183,0.6254666666666666,0.7617833333333333,0.7293666666666666,0.7172727272727273,0.7949166666666668,0.7469416666666667,0.71145,0.6891181818181819,0.7552454545454546,0.7448636363636364,0.706675,0.7086666666666668,0.7167363636363636,,0.7092545454545454,0.698509090909091,0.73825,0.7328166666666668,0.6914666666666668,0.7320333333333333,0.7043666666666666,0.7313,0.6450666666666666
21,POR,0.7901216326530612,0.7860491869918699,0.7880812627291247,0.006210885898514373,0.7367666666666667,0.7845166666666666,0.8087166666666666,0.7996833333333333,0.8000363636363637,0.7465272727272727,0.7866750000000001,0.7245833333333334,0.8113333333333336,0.7381833333333333,0.7598999999999999,0.8294,0.8447636363636363,0.7567833333333333,0.8487899999999999,0.8137,0.7853583333333333,0.7952600000000001,0.7315727272727273,0.7706454545454545,0.7768545454545456,,0.7990416666666667,0.81785,0.7827833333333333,0.7772833333333334,0.8020333333333333,0.7887666666666666,0.7934916666666666,0.7527833333333334
22,OKC,0.7723361788617882,0.7685829268292684,0.7704595528455283,-0.006467121516394281,0.8102,0.7621666666666668,0.7646666666666667,0.7582833333333334,0.7863727272727273,0.7342636363636362,0.7437833333333334,0.7389999999999999,0.7189,0.7667333333333333,0.8138799999999999,0.77025,0.7858454545454545,0.8031999999999999,0.7818454545454544,0.7709727272727274,0.7796083333333333,0.7601454545454547,0.7769272727272726,0.7202727272727272,0.7912099999999999,0.7712250000000002,,0.7479333333333332,0.7615999999999999,0.7550833333333333,0.7629333333333332,0.7706166666666666,0.8201666666666667,0.7017666666666668
23,ORL,0.7527426829268289,0.7571597560975608,0.7549512195121946,-0.0055106174513535056,0.7543749999999999,0.740490909090909,0.7757363636363636,0.7125750000000001,0.7719166666666667,0.7547333333333333,0.7705833333333333,0.7847545454545455,0.7259636363636364,0.7456399999999999,0.7452666666666666,0.76883,0.8229000000000001,0.7513363636363636,0.8385666666666666,0.8245,0.8061666666666666,0.83005,0.7484000000000001,0.7986166666666666,0.709,0.8002166666666667,0.7740333333333332,,0.7819166666666666,0.7225727272727274,0.7272,0.7369272727272727,0.6881333333333334,0.6990636363636363
24,CHA,0.7665130081300815,0.7665284552845527,0.7665207317073178,0.007420164718537237,0.790225,0.69713,0.7537454545454545,0.8050833333333335,0.7740166666666667,0.6901833333333333,0.7115666666666667,0.7895454545454544,0.7303545454545454,0.7963090909090909,0.7827000000000001,0.800118181818182,0.7881499999999999,0.7492363636363638,0.7792333333333333,0.7357333333333335,0.7637,0.7488166666666666,0.8091666666666667,0.7625333333333333,0.8385000000000001,0.7962333333333333,0.7928833333333333,0.8106999999999999,,0.7234272727272728,0.7275583333333334,0.7894363636363636,0.7087333333333333,0.76451
25,MIL,0.7614387755102042,0.7489678861788615,0.7551906313645628,0.0072832407614012995,0.7325999999999998,0.7400916666666667,0.7813727272727274,0.7964545454545454,0.7666499999999999,0.67075,0.7228499999999999,0.7876454545454545,0.7654083333333332,0.7658454545454546,0.7464833333333333,0.7756166666666667,0.7005833333333333,0.7006833333333332,0.7145999999999999,0.7573,0.7417833333333332,0.8038666666666666,0.7202999999999999,0.78615,0.7157833333333334,0.74615,0.6730666666666666,0.7445181818181819,0.7785727272727272,,0.73646,0.7637818181818182,0.7577666666666668,0.72967
26,ATL,0.7607825203252038,0.7586755102040817,0.75973116089613,0.002591649931629747,0.7260750000000001,0.7598727272727274,0.793890909090909,0.7878416666666667,0.7540166666666667,0.6159,0.8616,0.7578099999999999,0.7609909090909089,0.7114454545454546,0.8158833333333333,0.752,0.7187333333333333,0.79681,0.7051666666666666,0.7580833333333334,0.7383000000000001,0.7239,0.7952666666666667,0.8048166666666666,0.6886166666666668,0.7847833333333333,0.7734333333333332,0.7163083333333334,0.7203583333333334,0.82521,,0.8031545454545456,0.8134666666666668,0.7421363636363636
27,NY,0.7789341463414644,0.7765788617886188,0.7777565040650416,0.008055754850299746,0.797509090909091,0.8002363636363636,0.8073416666666668,0.8003,0.8129833333333334,0.7191333333333333,0.7874,0.8246000000000001,0.7852818181818182,0.7578,0.7471666666666666,0.7995300000000001,0.7857999999999999,0.7932272727272728,0.8389833333333335,0.78215,0.7563000000000001,0.6771166666666667,0.7172333333333333,0.7592499999999999,0.7782333333333332,0.73605,0.7348833333333333,0.8073727272727272,0.7501818181818181,0.7511,0.75678,,0.7574833333333332,0.776675
28,MIN,0.7769044715447159,0.787348780487805,0.7821266260162607,0.008842172007575422,0.7604000000000001,0.8339166666666666,0.6458166666666667,0.8109166666666666,0.7935818181818182,0.8304363636363636,0.7938916666666666,0.7732166666666666,0.8716833333333334,0.6987166666666665,0.7900181818181816,0.8354166666666667,0.7994299999999999,0.7467666666666667,0.7761181818181818,0.7823999999999999,0.801225,0.7557181818181818,0.7791454545454546,0.7759,0.7804363636363636,0.7753333333333333,0.80415,0.7679666666666667,0.8222333333333333,0.7346166666666667,0.8261833333333334,0.8795166666666666,,0.7714500000000001
29,BKN,0.7517796747967478,0.7658764227642281,0.7588280487804885,-0.009099067128954141,0.72821,0.7469090909090909,0.7960250000000001,0.7256181818181818,0.73855,0.7545833333333335,0.7133666666666668,0.7473833333333332,0.7986727272727272,0.7630916666666666,0.7912500000000001,0.7922181818181818,0.8206833333333333,0.7707999999999999,0.8037500000000001,0.8036166666666666,0.7092,0.8085333333333332,0.8015,0.7427,0.7265666666666667,0.7135666666666666,0.8149333333333333,0.7873818181818181,0.7839454545454544,0.7753999999999999,0.7664636363636362,0.7379166666666666,0.7471666666666666,
