"","ref","team","fouls"
"342","Brian Forte","IND",368
"343","Brian Forte","LAC",638
"344","Brian Forte","LAL",404
"345","Brian Forte","MEM",627
"346","Brian Forte","MIA",545
"347","Brian Forte","MIL",427
"348","Brian Forte","MIN",403
"349","Brian Forte","NO",568
"350","Brian Forte","NY",503
"351","Brian Forte","OKC",681
"352","Brian Forte","ORL",553
"353","Brian Forte","PHI",542
"354","Brian Forte","PHO",507
"355","Brian Forte","POR",499
"356","Brian Forte","SA",452
"357","Brian Forte","SAC",484
"358","Brian Forte","TOR",609
"359","Brian Forte","UTA",377
"360","Brian Forte","WAS",652
"361","C.J. Washington","ATL",190
"362","C.J. Washington","BKN",161
"363","C.J. Washington","BOS",60
"364","C.J. Washington","CHA",103
"365","C.J. Washington","CHI",134
"366","C.J. Washington","CLE",115
"367","C.J. Washington","DAL",179
"368","C.J. Washington","DEN",82
"369","C.J. Washington","DET",121
"370","C.J. Washington","GS",135
"371","C.J. Washington","HOU",104
"372","C.J. Washington","IND",159
"373","C.J. Washington","LAC",102
"374","C.J. Washington","LAL",93
"375","C.J. Washington","MEM",176
"376","C.J. Washington","MIA",248
"377","C.J. Washington","MIL",148
"378","C.J. Washington","MIN",156
"379","C.J. Washington","NO",139
"380","C.J. Washington","NY",35
"381","C.J. Washington","OKC",114
"382","C.J. Washington","ORL",246
"383","C.J. Washington","PHI",135
"384","C.J. Washington","PHO",166
"385","C.J. Washington","POR",95
"386","C.J. Washington","SA",65
"387","C.J. Washington","SAC",68
"388","C.J. Washington","TOR",87
"389","C.J. Washington","UTA",170
"390","C.J. Washington","WAS",183
"391","Courtney Kirkland","ATL",475
"392","Courtney Kirkland","BKN",525
"393","Courtney Kirkland","BOS",597
"394","Courtney Kirkland","CHA",394
"395","Courtney Kirkland","CHI",578
"396","Courtney Kirkland","CLE",547
"397","Courtney Kirkland","DAL",477
"398","Courtney Kirkland","DEN",533
"399","Courtney Kirkland","DET",465
"400","Courtney Kirkland","GS",564
"401","Courtney Kirkland","HOU",636
"402","Courtney Kirkland","IND",484
"403","Courtney Kirkland","LAC",468
"404","Courtney Kirkland","LAL",597
"405","Courtney Kirkland","MEM",582
